id,name,type,suitable_phase,sport_allow,space,rule_override,time_delta,difficulty_delta,equipment_needed,incompatible_with,slot_벌칙동작,description,must_render,teacher_meaning,setup_example,scoring_example
round_ladder,사다리 난이도 상승,라운드구성,챌린지,축구|농구|피구|배구|족구|티볼|술래놀이,운동장|체육관|교실,라운드마다 성공 기준을 1단계씩 올린다,2,1,,round_3x4,,라운드 상승 규칙,TRUE,기준을 단계적으로 올려 집중을 유지한다,1라운드 3회 성공 2라운드 5회 성공 3라운드 7회 성공,라운드별 기준 달성 시 1점
score_target_zone_bonus,타깃존 보너스,점수조건,응용,축구|피구|배구|족구|가가볼,운동장|체육관|교실,지정 타깃존에서 마무리하면 추가 점수를 준다,1,1,존마커,,,타깃존 추가 점수,TRUE,마무리 정확도와 공간 인지를 강화한다,콘 4개로 타깃존을 표시한다,기본 득점에 보너스 1점 추가
zombie_chain_increase,좀비 연쇄 증가,역할전환,기본,술래놀이,교실|체육관|운동장,태그된 학생이 즉시 술래 팀으로 전환된다,0,1,팀조끼,,제자리 스쿼트 3회,태그당 술래 수 증가,TRUE,참여자 몰입도를 높이고 추격 밀도를 빠르게 만든다,초기 술래 2명으로 시작한다,마지막 생존자 1명이 승리
bandage_hand_limit,반창고 손 제한,기능제한,응용,술래놀이|피구,체육관|운동장|교실,태그된 부위 손을 사용하지 못한다,0,1,,,jumping_jack_5,사용 가능한 신체 제한,TRUE,비우세 손 활용과 균형 감각을 유도한다,태그된 팔을 반창고로 표시한다,제한을 지키며 30초 생존 시 1점
dice_task_after_tag,주사위 과제 술래,벌칙조건,응용,술래놀이,체육관|운동장|교실,태그된 학생은 주사위를 굴려 나온 과제를 수행한다,1,1,주사위,,주사위 과제 수행,태그 후 과제 수행 규칙,TRUE,반응 게임에 체력 과제를 자연스럽게 결합한다,주사위 면별 과제를 콘에 게시한다,과제 완료 후 즉시 재참여
rainbow_respawn_jump,무지개 부활 점프,부활조건,응용,술래놀이,체육관|운동장,태그된 학생은 무지개 존에서 점프 과제 후 부활한다,1,1,원마커,,호핑 6회,부활 대기 구역 운영,TRUE,아웃 대기 시간을 학습 시간으로 전환한다,색 원마커 6개를 연속 배치한다,과제 완료 시 팀 생존 인원 유지
mine_zone_out,지뢰 존 아웃,영역제한,챌린지,가가볼|술래놀이,교실|체육관,중앙 지뢰 존을 밟으면 즉시 아웃 처리한다,0,2,원마커,,버피 2회,지뢰 구역 추가,TRUE,회피 판단과 공간 탐색을 강화한다,지뢰 존을 노란 원마커로 표시한다,지뢰 미접촉 생존 시 1점
all_touch_required,올터치 의무,연결조건,챌린지,손족구|배구|패스게임,체육관|운동장|교실,공격 전 팀원 전원이 1회 이상 터치해야 한다,0,2,,,제자리 런지 4회,팀 전원 참여 조건,TRUE,특정 학생 편중을 줄이고 협동 구조를 강화한다,4인 팀 터치 순서를 사전 합의한다,올터치 충족 공격 성공 시 2점
blackhole_out_zone,블랙홀 아웃존,영역제한,챌린지,가가볼|술래놀이|피구,체육관|교실,블랙홀 존에 공이 닿거나 발이 들어가면 아웃,0,2,검정 원마커,,스쿼트 3회,위험 구역 추가 규칙,TRUE,주의 집중과 위치 선택의 질을 높인다,블랙홀 존 1개를 중앙에 배치한다,블랙홀 무접촉 라운드 완주 시 1점
bracelet_respawn_task,기회팔찌 재참여,부활조건,응용,피구|술래놀이|컵게임,교실|체육관|운동장,아웃 시 팔찌 1개를 제출하고 과제 후 재참여한다,1,1,기회팔찌|과제카드,,과제 수행 후 복귀,아웃 관리와 참여 유지,TRUE,탈락감을 줄이고 참여 지속성을 높인다,팀당 팔찌 5개로 시작한다,라운드 종료 시 팔찌 잔량이 높은 팀 승
best_of_five_swap,5판 3선승 교대,승부구조,응용,컵게임|보드게임|네트게임,교실|체육관,5판 3선승 후 상대 팀과 포지션을 교대한다,3,1,,,점핑잭 5회,세트제 운영,TRUE,짧은 라운드 반복으로 긴장감을 유지한다,판별 타이머 2분으로 설정한다,세트 승리당 1점 누적
timed_round_countdown,카운트다운 라운드,시간제한,기본,전체,교실|체육관|운동장,라운드 시간을 30초 또는 60초로 고정한다,-2,0,타이머,,플랭크 10초,시간 압박 규칙,TRUE,집중도와 의사결정 속도를 향상한다,30초 2라운드와 60초 1라운드 운영,시간 내 목표 달성 시 팀 점수 획득
